City,Year,zhuanli,keji,jiaoyu,rgdp,gongye,waizi,renkou
98,2018,3211,21105,362272,49835,1374,25,388
98,2019,3718,21934,378021,62569,1340,22,387
98,2020,3782,34433,413964,65745,1328,17,384
98,2021,4791,42879,428887,69443,1256,18,346
98,2022,6743,40134,442052,76824,1358,21,381
99,2018,731,16910,395664,34667,317,6,415
99,2019,1353,16793,421747,37885,330,5,412
99,2020,1425,16049,474825,38743,367,7,408
99,2021,2064,11166,498847,46228,414,8,314
99,2022,2659,7824,454198,51377,467,9,403
100,2018,1197,19528,421791,43110,625,5,352
100,2019,1401,10085,434526,49397,625,5,351
100,2020,1740,10056,440407,56999,609,4,350
100,2021,2026,6998,455051,63259,622,4,316
100,2022,2459,5846,472450,69850,638,4,347
101,2018,1728,29251,728467,36735,692,3,555
101,2019,1724,18981,805934,44604,766,3,552
101,2020,2010,53730,851881,57003,826,5,552
101,2021,4003,78853,930684,61182,868,4,459
101,2022,6059,94912,985875,68481,904,5,550
102,2018,546,6111,589075,33130,509,4,465
102,2019,746,6946,593733,38520,552,5,462
102,2020,963,9760,637902,38522,562,6,459
102,2021,1547,7018,650472,40073,606,8,325
102,2022,2094,6178,650591,43558,603,9,453
103,2018,5641,166542,1047672,67772,747,14,408
103,2019,9113,247794,1210969,78449,772,20,418
103,2020,10770,284573,1268289,81995,758,20,428
103,2021,15379,257290,1322183,72246,764,22,599
103,2022,17154,202378,1328968,77919,871,21,445
104,2018,8217,168930,1181689,64156,990,40,563
104,2019,12401,180075,1300493,76387,1015,35,572
104,2020,14301,188652,1356934,93853,1006,33,578
104,2021,18372,168752,1433931,80584,997,37,846
104,2022,26023,186211,1446624,85146,1067,37,589
105,2018,229,8396,441137,23692,258,3,263
105,2019,318,8522,491612,28168,269,2,264
105,2020,218,7069,455998,36548,267,2,264
105,2021,504,7024,464999,43200,272,4,243
105,2022,810,6058,471024,48074,268,4,265
106,2018,213,6170,432609,21906,173,2,239
106,2019,318,6836,499120,24892,179,1,241
106,2020,228,9290,538640,29926,177,1,241
106,2021,334,15646,516790,36213,177,1,226
106,2022,591,7391,428333,40458,199,1,242
107,2018,25042,452846,1338949,71357,1434,92,906
107,2019,31640,482295,1571932,85114,1385,90,987
107,2020,34123,347911,2018994,92256,1631,92,957
107,2021,45407,232684,2333672,79181,1667,102,1296
107,2022,64131,573530,2559436,83689,1731,99,999
108,2018,1788,29145,656749,48016,727,18,468
108,2019,2079,29145,656749,54368,720,13,460
108,2020,2656,16095,645932,50338,698,18,458
108,2021,4385,10368,654485,55189,725,21,396
108,2022,6406,12575,672484,61002,781,22,455
109,2018,514,21197,532299,48300,171,1,238
109,2019,669,22528,627916,68940,202,2,234
109,2020,610,28323,634252,73703,249,4,234
109,2021,1024,20412,641340,69934,276,5,228
109,2022,1345,13418,578784,88127,315,5,233
110,2018,952,60697,1016366,81764,839,6,385
110,2019,1119,61855,1103075,112845,860,4,384
110,2020,1198,40202,1241819,120908,994,5,385
110,2021,1885,38118,1242882,112974,1011,6,363
110,2022,3603,50310,1306858,149899,1024,6,386
111,2018,511,13994,309621,32039,357,3,143
111,2019,897,24809,311272,37922,373,2,144
111,2020,675,28066,324678,40889,351,2,143
111,2021,1188,24166,377013,44330,339,1,138
111,2022,1899,28301,381040,54933,362,1,144
112,2018,411,16696,236065,137307,87,1,31
112,2019,597,16272,237292,153647,88,1,31
112,2020,565,13458,251793,188857,92,1,31
112,2021,771,13668,242324,180871,97,2,46
112,2022,1006,14477,246754,205941,106,2,32
